gauge_id,mean_sp_baseline,mean_sp_future,delta_mean_sp,max_sp_baseline,max_sp_future,delta_max_sp,rcp
16003,5.117383095238095,1.1667792222222222,-3.950603873015873,165.3581,90.67765,-74.68045000000001,rcp60
16004,2.111062058531746,0.29663226388888886,-1.8144297946428574,79.41475,46.84985,-32.564899999999994,rcp60
17001,3.1041784523809524,0.6014981805555555,-2.5026802718253967,185.285,93.01385,-92.27114999999999,rcp60
17003,0.7360278224206349,0.09196858333333333,-0.6440592390873016,75.21615,29.1835,-46.032650000000004,rcp60
17004,0.06704229166666667,0.0008551805555555555,-0.06618711111111111,26.84655,2.61435,-24.2322,rcp60
17005,0.7885618501984127,0.12278995833333334,-0.6657718918650795,80.6154,35.1385,-45.47689999999999,rcp60
17015,3.0716622966269838,0.7032628101851851,-2.3683994864417985,148.10135000000002,103.7694,-44.33195000000002,rcp60
17018,0.9535801984126985,0.1597595925925926,-0.7938206058201058,74.97710000000001,46.569649999999996,-28.40745000000001,rcp60
18001,2.5944556597222226,0.5454673842592592,-2.048988275462963,112.7991,72.1046,-40.69449999999999,rcp60
18002,2.8314291319444447,0.6668755694444445,-2.1645535625,137.6635,98.31139999999999,-39.35210000000001,rcp60
18003,0.5405022519841269,0.035181416666666666,-0.5053208353174603,60.03565,31.127699999999997,-28.90795,rcp60
18008,4.8846880257936505,1.0041172962962963,-3.880570729497354,184.3157,77.28085,-107.03484999999999,rcp60
18010,1.1519463888888888,0.14936758333333333,-1.0025788055555553,87.07045,42.30955,-44.76089999999999,rcp60
18011,2.4971802182539684,0.5182066203703704,-1.978973597883598,127.553,65.3353,-62.217699999999994,rcp60
18014,0.8887937847222223,0.10971713425925926,-0.779076650462963,74.79795,38.247099999999996,-36.550850000000004,rcp60
18017,10.757997227182539,2.132090143518518,-8.625907083664021,295.0529,143.09735,-151.95555000000002,rcp60
18018,6.226284677579366,1.3717396898148149,-4.854544987764551,203.08235,92.76065,-110.32169999999999,rcp60
19001,0.5638465525793651,0.0705639537037037,-0.4932825988756614,56.8198,27.99655,-28.82325,rcp60
19006,0.507779365079365,0.05104488425925926,-0.4567344808201058,48.39605,26.3061,-22.08995,rcp60
19010,0.0697436755952381,0.0014920833333333335,-0.06825159226190476,27.9904,4.50875,-23.481650000000002,rcp60
19017,0.48253480158730155,0.04564396759259259,-0.43689083399470896,45.8748,20.91745,-24.95735,rcp60
19020,1.1567054662698413,0.1917605277777778,-0.9649449384920634,93.7337,47.417550000000006,-46.31614999999999,rcp60
20002,0.08231846230158729,0.0017209953703703706,-0.08059746693121692,36.76395,6.12305,-30.640900000000002,rcp60
20003,0.6685510664682539,0.053078773148148156,-0.6154722933201058,58.4685,18.56525,-39.90325,rcp60
20007,0.7623551140873017,0.06475749074074075,-0.697597623346561,73.62905,28.27435,-45.35470000000001,rcp60
21003,1.0433149553571428,0.1054178148148148,-0.937897140542328,73.1464,30.902250000000002,-42.24415,rcp60
21006,1.431056314484127,0.14190835185185185,-1.2891479626322753,80.65285,36.93385,-43.719,rcp60
21008,0.6517407242063492,0.06846234722222222,-0.583278376984127,65.20885,20.83445,-44.374399999999994,rcp60
21009,0.9524923462301587,0.08553767592592593,-0.8669546703042328,69.18955,24.076700000000002,-45.112849999999995,rcp60
21011,1.9409077827380952,0.16731700462962965,-1.7735907781084654,95.18245,44.01165,-51.1708,rcp60
21012,1.058645744047619,0.13475685185185182,-0.9238888921957671,89.09385,46.6083,-42.48555,rcp60
21013,1.907115441468254,0.3618418564814815,-1.5452735849867727,84.36545000000001,57.03675,-27.328700000000012,rcp60
21015,1.522884642857143,0.21839443055555557,-1.3044902123015873,77.26895,50.5959,-26.673050000000003,rcp60
21016,0.5091911458333334,0.044388083333333335,-0.46480306250000003,65.5118,29.6374,-35.874399999999994,rcp60
21017,3.3503510218253973,0.6709927175925926,-2.679358304232805,149.22140000000002,93.60815,-55.61325000000002,rcp60
21018,0.6735841865079365,0.07039327314814815,-0.6031909133597884,52.44605,27.626800000000003,-24.819249999999997,rcp60
21022,1.0145732341269842,0.0914699722222222,-0.923103261904762,79.21905,29.698349999999998,-49.5207,rcp60
21023,0.6673471775793651,0.0708425324074074,-0.5965046451719578,71.4468,31.8667,-39.580099999999995,rcp60
21024,0.9791603174603174,0.13318248148148149,-0.8459778359788359,81.58574999999999,45.99085,-35.59489999999999,rcp60
21026,4.826448278769842,1.1590953055555557,-3.667352973214286,169.22480000000002,129.39435,-39.83045000000001,rcp60
21027,0.7798363343253969,0.06713346296296296,-0.7127028713624339,64.11395,22.0035,-42.11045,rcp60
22001,1.462992425595238,0.15768724537037038,-1.3053051802248676,88.91095,38.63685,-50.2741,rcp60
22006,0.4562665773809524,0.016807467592592593,-0.4394591097883598,51.0774,15.10415,-35.97324999999999,rcp60
22007,0.7883748958333334,0.06650128703703703,-0.7218736087962964,69.3063,23.134349999999998,-46.171949999999995,rcp60
22009,1.9205932291666665,0.25596625925925925,-1.6646269699074072,116.7701,54.45245,-62.31765,rcp60
